Quantity,Manufacturer Part Number,Manufacturer Name,Description,Customer Reference,Source,Note
72,CC0603KRX7R9BB104,Yageo,Cond. 100nF 50V X7R 0603 10%,C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C56 C57 C58 C59 C60 C61 C62 C63 C64 C65 C66 C67 C68 C69 C70 C71 C72 C73 C74 C81 C82 C88 C89 C90 C_FE10 C_FE5 C_FE6 C_ISO1 C_KL1a1 C_KL1b1 C_KL2a1 C_KL2b1 C_KL3a1 C_KL3b1 C_MCU1 C_MCU10 C_MCU11 C_MCU2 C_MCU3 C_MCU4 C_MCU5 C_MCU6 C_MCU7 C_MCU8 C_MCU9 C_MCU_A1 C_MCU_A2 C_PWR1 C_PWR6 C_PWR9 C_RM2 C_RM4 C_RST1 C_SW1 C_USB2 C_VBAT1,Mouser #280778508,
27,ERJ-3EKF1002V,Panasonic,Rés. 10k 1% 0603,R17 R19 R21 R23 R24 R26 R27 R47 R_BOOT1 R_FE4 R_J18b1 R_J18e1 R_J18j1 R_J18o1 R_J18q1 R_J18r1 R_KL1c1 R_KL1d1 R_KL1e1 R_KL2c1 R_KL2d1 R_KL2e1 R_KL3c1 R_KL3d1 R_KL3e1 R_PWR6 R_RST1,Mouser #280778508,remplace RC0603FR-0710KL Yageo indispo
15,SMAJ24CA,Littelfuse,TVS 24V uni 400W SMB,D_BN2 D_BN3 D_BN4 D_BN5 D_ESD1 D_ESD10 D_ESD11 D_ESD12 D_ESD13 D_ESD15 D_ESD2 D_ESD3 D_ESD7 D_ESD8 D_ESD9,Mouser #280778508,
13,G6K-2F-Y-DC5,Omron,Relais DPDT 5VDC signal,K_CAN2 K_CAN3 K_CAN4 K_GPT1 K_GPT2 K_J18 K_RM1 K_RM2 K_RM3 K_RM_F11 K_RM_F12 K_RM_F13 K_RM_F9,Mouser #280778508,graphie MPN corrigée (tiret)
8,RC0603FR-0747KL,Yageo,Rés. 47k 1% 0603,R18 R20 R22 R25 R28 R_KL1b1 R_KL2b1 R_KL3b1,Mouser #280778508,
5,RC0603FR-07100KL,Yageo,Rés. 100k 1% 0603,R_FE10 R_FE12 R_ISO3 R_PWR1 R_PWR7,Mouser #280778508,
6,ISO7742DWR,Texas Instruments,Iso num. 4ch SOIC-16W,U_ISO10 U_ISO5 U_ISO6 U_ISO7 U_ISO8 U_ISO9,Mouser #280778508,
2,GRM21BR61H106KE43K,Murata,Cond. 10uF 50V X5R 0805,C_FE1 C_PWR4,Mouser #280778508,50V obligatoire (rail VBAT) - derating DC a verifier (KE43K = ex-KE43L)
3,GJ821BR61E106KE11L,Murata,Cond. 10uF 25V X5R 0805,C_ISO2 C_SW2 C_USB1,Mouser #280778508,remplace CL21A106KAYNNNE Samsung indispo
5,TJA1463AT/0Z,NXP,CAN SIC transceiver SO14 (SOIC-14 SOT108-1),U_CAN1 U_CAN2 U_CAN3 U_CAN4T1 U_CAN5T1,Farnell,remplace TJA1463ATK/0Z (HVSON14 leadless 3x4.5mm - empreinte incompatible) - a recommander
4,CL10A105KB8NNNC,Samsung,Cond. 1uF 50V X5R 0603,C_ISO6 C_ISO7 C_MCU_A3 C_PWR5,Mouser #280778508,
4,RC0603FR-072K2L,Yageo,Rés. 2.2k 1% 0603,R_ISO1 R_ISO2 R_RM1 R_RM2,Mouser #280778508,
4,08053D226MAT2A,KYOCERA AVX,Cond. 22uF 25V X5R 0805,C_ISO8 C_ISO9 C_PWR7 C_PWR8,Mouser #280778508,remplace CL21A226MAQNNNE Samsung indispo
4,2N7002,onsemi,MOSFET N 60V SOT-23,Q_J18 Q_KL1 Q_KL2 Q_KL3,Mouser #280778508,
3,RC0603FR-0718KL,Yageo,Rés. 18k 1% 0603,R_KL1f1 R_KL2f1 R_KL3f1,Mouser #280778508,
3,RC0603FR-071KL,Yageo,Rés. 1k 1% 0603,R_ISO4 R_J18u1 R_LED2,Mouser #280778508,
3,RC0603FR-0733RL,Yageo,Rés. 33 ohm 1% 0603,R_J18c1 R_J18k1 R_J18m1,Mouser #280778508,
4,RC0603FR-074K7L,Yageo,Rés. 4.7k 1% 0603,R_FE2 R_J18h1 R_J18n1 R_J18t1,Mouser #280778508,
1,C2012X5R1H475K125AB,TDK,Cond. 4.7uF 50V X5R 0805,C_PWR3,Mouser #280778508,50V obligatoire (rail VBAT) - remplace GRM21BR61H475KA73L Murata indispo
2,CL21A475KAQNNNE,Samsung,Cond. 4.7uF 25V X5R 0805,C_MCU_B1 C_MCU_B2,Mouser #280778508,
3,ASE-40.000MHZ-LC-T,Abracon,Oscillateur XO 40MHz 3.3V 3225 CMOS,X_CAN1 X_CAN2 X_SW1,Mouser #280778508,"VERIFIER: XO actif 4 broches, 3225, 1.8-3.3V"
3,RC0603FR-075K1L,Yageo,Rés. 5.1k 1% 0603,R_J18i1 R_USB1 R_USB2,Mouser #280778508,
3,RC0603FR-07510RL,Yageo,Rés. 510 ohm 1% 0603,R_KL1a1 R_KL2a1 R_KL3a1,Mouser #280778508,
3,ADG5412FBRUZ,Analog Devices,Switch analog. 4x SPST TSSOP-16,U_RM_SW1 U_RM_SW2 U_RM_SW3,Farnell,
3,1N5819HW-7-F,Diodes Inc.,Schottky 40V 1A SOD-123,D_FE2 D_J18a1 D_J18b1,Mouser #280778508,equivalent B5819W - remplace B5819WS-7-F indispo
3,E-L9637D013TR,STMicroelectronics,Transceiver K-line ISO9141 SOIC-8,U_KL1 U_KL2 U_KL3,Mouser #280778508,suffixe commande Mouser (meme composant)
3,MCP2518FDT-E/SL,Microchip,Contrôleur CAN FD SPI SOIC-14,U_CAN4 U_CAN5 U_SW_CTRL1,Mouser #280778508,
2,CL10A106KP8NNNC,Samsung,Cond. 10uF 10V X5R 0603,C_ISO4 C_ISO5,Mouser #280778508,
2,CL32B106KBJNNNE,Samsung,Cond. 10uF 50V X7R 1210,C_FE2 C_FE9,Mouser #280778508,remplace GRM32ER71H106KA12L Murata introuvable
2,RC0603FR-0713KL,Yageo,Rés. 13k 1% 0603,R_FE11 R_FE13,Mouser #280778508,
2,CL10A225KO8NNNC,Samsung,Cond. 2.2uF 16V X5R 0603,C38 C39,Mouser #280778508,
2,RC0603FR-0720KL,Yageo,Rés. 20k 1% 0603,R_J18d1 R_J18f1,Mouser #280778508,
2,CL10B221KB8NNNC,Samsung,Cond. 220pF 50V X7R 0603,C_J18a1 C_J18d1,Mouser #280778508,
